time_s,npv,P0,V0
0,1.51,2015.41,230.33
15,1.5,2017.68,230.42
30,1.5,2018.08,230.49
45,1.5,2014.38,230.4
60,1.51,2014.28,230.36
75,1.5,2024.66,230.37
90,1.5,2033.71,230.48
105,1.49,2039.6,230.43
120,1.49,2040.2,230.36
135,1.49,2046.68,230.36
150,1.48,2047.41,230.47
165,1.49,2043.66,230.43
180,1.48,2047.03,230.46
195,1.48,2049.05,230.43
210,1.47,2067.38,230.36
225,1.47,2067.19,230.43
240,1.47,2069.61,230.41
255,1.47,2069.03,230.45
270,1.47,2066.61,230.35
285,1.47,2067.01,230.49
300,1.47,2071.36,230.35
315,1.47,2070.64,230.49
330,1.47,2069.7,230.37
345,1.47,2071.83,230.41
360,1.47,2069.56,230.49
375,1.47,2068.4,230.37
390,1.47,2067.44,230.37
405,1.47,2068.97,230.48
420,1.47,2067.68,230.41
435,1.47,2070.09,230.4
450,1.47,2066.63,230.46
465,1.47,2069.22,230.36
480,1.47,2064.9,230.47
495,1.46,2067.6,230.39
510,1.48,2061.59,230.42
525,1.47,2064.46,230.42
540,1.47,2064.35,230.37
555,1.48,2064.06,230.37
570,1.44,2060.84,230.39
585,1.47,2059.81,230.38
600,1.48,2058.91,230.39
615,1.47,2060.83,230.37
630,1.48,2064.41,230.36
645,1.48,2060.66,230.37
660,1.47,2058.5,230.37
675,1.48,2061.46,230.39
690,1.48,2060.22,230.47
705,1.47,2057.39,230.5
720,1.48,2059.25,230.41
735,1.48,2057.09,230.37
750,1.48,2059.31,230.46
765,1.48,2056.29,230.51
780,1.47,2054.53,230.51
795,1.48,2058.03,230.51
810,1.48,2053.54,230.48
825,1.48,2052.68,230.46
840,1.48,2048.76,230.42
855,1.48,2053.47,230.37
870,1.48,2051.36,230.41
885,1.48,2047.84,230.37
900,1.48,2045.88,230.48
915,1.48,2047.07,230.44
930,1.49,2047.96,230.43
945,1.48,2048.99,230.39
960,1.48,2043.44,230.51
975,1.48,2047.8,230.39
990,1.48,2044.37,230.43
1005,1.48,2048.23,230.5
1020,1.48,2044.97,230.38
1035,1.48,2041.89,230.52
1050,1.48,2044.74,230.39
1065,1.49,2039.76,230.48
1080,1.48,2043.71,230.42
1095,1.49,2043.85,230.42
1110,1.45,2040.64,230.51
1125,1.49,2042.48,230.42
1140,1.49,2040.5,230.41
1155,1.49,2039.56,230.52
1170,1.49,2044.56,230.43
1185,1.49,2043.48,230.38
1200,1.49,2038.47,230.48
1215,1.5,2040.29,230.51
1230,1.5,2038.74,230.39
1245,1.49,2042.45,230.4
1260,1.49,2039.63,230.46
1275,1.49,2038.22,230.51
1290,1.49,2038.76,230.52
1305,1.5,2036.76,230.51
1320,1.49,2037.8,230.46
1335,1.5,2039.12,230.44
1350,1.5,2041.78,230.47
1365,1.49,2036.72,230.42
1380,1.5,2040.67,230.4
1395,1.5,2035.45,230.39
1410,1.49,2032.95,230.4
1425,1.5,2036.3,230.43
1440,1.49,2035.55,230.52
1455,1.5,2037.13,230.49
1470,1.5,2037.89,230.45
1485,1.5,2035.34,230.39
1500,1.5,2034.35,230.52
1515,1.5,2033.79,230.46
